-38,98,-20
-42,79,-17
-32,72,-12
-9,61,-13
-4,61,-8
-32,53,-2
-45,44,-11
-39,36,-3
-34,35,3
-19,30,12
-29,21,5
-32,20,4
-37,33,1
-43,41,-3
-54,61,-6
-64,68,-10
-79,61,-4
-54,47,0
-20,58,-20
-44,67,-30
-41,67,-34
-9,67,-27
-20,68,-28
-27,68,-17
-26,64,-29
-8,54,-22
-11,54,-18
-24,36,-25
-16,33,-13
-34,33,-23
-37,35,-32
-34,46,-25
-39,54,-39
-37,61,-34
-51,85,-43
-64,79,-48
-64,80,-25
-61,80,-29
-40,96,-19
-30,104,-18
-39,71,-23
-43,59,-22
-36,38,-14
-20,28,2
-1,26,9
3,-5,25
-15,-4,30
-33,1,24
-30,-4,18
-42,-4,23
-41,2,24
-35,11,30
-57,11,28
-97,20,22
-86,20,24
-74,17,29
-95,8,12
-92,10,11
-60,14,15
-51,11,14
-37,9,24
-36,6,17
-30,5,15
-42,10,17
-49,11,19
-60,12,15
-63,14,19
-63,21,19
-65,20,18
-71,18,19
-79,21,20
-87,28,20
-84,27,20
-63,21,25
-62,22,21
-64,20,18
-54,10,15
-47,7,13
-50,3,7
-49,-1,3
-46,-7,19
-41,-6,27
-56,-6,18
-55,-7,23
-69,-6,37
-69,1,41
-65,4,38
-61,-1,49
-64,2,58
-65,9,48
-62,9,43
-54,2,40
-60,6,37
-64,11,34
-55,9,37
-42,3,27
-26,7,30
-35,10,37
-31,4,41
-33,3,41
-28,3,42
-26,3,48
-28,6,50
-33,9,55
-44,15,56
-45,10,65
-60,16,64
-47,23,59
-46,23,54
-37,22,55
-41,15,54
-43,10,46
-37,6,41
-25,-2,43
-35,-4,43
-33,-4,41
-31,-4,38
-26,0,39
-39,-3,37
-44,-2,45
-58,7,62
-61,12,56
-62,-2,44
-65,-2,46
-58,10,40
-69,12,34
-71,9,38
-57,9,43
-53,13,37
-62,16,34
-52,13,33
-23,7,35
-30,6,33
-49,6,37
-43,9,43
-34,3,35
-37,2,37
-29,6,60
-32,8,64
-18,10,68
-8,21,81
-16,27,77
-19,24,57
-31,23,70
-20,18,61
-24,15,49
-21,15,44
-14,14,47
-9,9,29
-7,3,33
-19,11,43
-15,16,52
-16,8,55
-29,7,55
-27,10,58
-18,12,63
-25,11,62
-34,22,62
-34,28,60
-37,22,38
-49,20,35
-48,40,49
-38,43,43
-38,42,33
-31,42,25
-20,39,26
-21,43,25
-23,47,24
-19,48,23
-18,47,22
-14,51,15
-11,56,14
-9,68,14
-7,98,13
-9,116,10
-24,107,9
-28,79,14
-25,66,10
-27,77,7
-15,76,5
-8,60,5
-10,41,2
-11,40,2
-20,45,7
-21,44,11
-17,46,14
-17,53,19
-15,55,23
-14,58,25
-18,64,22
-14,75,24
-12,74,24
-13,72,18
-15,79,15
-21,88,15
-23,72,13
-23,75,9
-28,91,4
-23,88,4
-15,67,3
-16,61,0
-11,63,0
-8,63,0
-9,59,0
-8,56,0
-8,50,0
-11,49,2
-9,51,2
-4,60,3
-3,65,4
-3,76,5
-2,81,5
-9,70,14
-13,65,14
-11,74,15
-7,78,14
-6,74,11
-9,62,10
-11,59,11
-14,56,15
-13,54,14
-15,51,15
-16,51,18
-14,47,23
-15,46,23
-15,53,22
-14,60,23
-13,67,24
-15,77,14
-17,101,14
-17,81,21
-13,71,13
-13,90,3
-13,90,2
-9,79,7
-13,71,6
-13,61,3
-12,58,2
-7,50,2
-9,46,3
-7,44,5
-3,45,4
-3,50,3
-3,62,3
-5,64,6
-7,61,8
-6,64,2
-13,106,-9
-12,77,16
-7,78,14
7,72,21
-1,65,16
-10,54,13
-13,51,16
-21,50,19
-20,49,18
-19,49,16
-19,51,18
-18,56,27
-16,62,30
-14,68,29
-14,80,23
-11,77,20
-13,69,14
-17,78,14
-19,84,18
-13,81,15
-11,85,7
-12,93,6
-10,85,5
-10,70,4
-10,73,3
-5,61,1
-5,57,2
-2,54,1
2,45,0
3,42,0
4,50,1
8,61,7
4,85,3
-2,82,6
-7,70,11
-7,84,17
-2,81,24
1,74,21
-4,58,12
-13,50,10
-23,42,11
-21,41,13
-22,45,17
-23,47,18
-26,55,17
-31,66,15
-44,76,17
-16,71,24
-24,89,17
-27,107,12
-10,107,10
-10,99,1
-14,98,6
-12,92,4
-6,87,7
-7,70,5
-5,58,1
0,53,2
5,44,8
2,38,11
-3,35,13
-4,43,11
-4,66,5
